  2.849282] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.268113] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.274589] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.281102] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.287580] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.294069] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.300557] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.307044] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.313520] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.320013] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.326493] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.332974] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.339446] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.345927] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.352411] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.358899] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.365378] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.371861] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.378329] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.384812] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.391288] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.397774] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.404243] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.410722] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.417199] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.423687] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.430168] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.436650] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.443127] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.449605] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.456083] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.462557] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.469029] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
[    4.475513] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf80 caller is 0x1131c5
[    4.481995] CRIT: [libkvmplat] <trace.c @   86> base is 0x61cf30 caller is 0x105606
